date,class,lesson_number,time_slot,subject,classroom,homework,weekday,class_column
2025-09-28,5а,1,8.00-8.40,РОВ,19,,воскресенье,D
2025-09-28,5а,2,8.50-9.30,Русский Яз.,19,,воскресенье,D
2025-09-28,5а,3,9.45-10.25,Англ Яз.,15,,воскресенье,D
2025-09-28,5а,4,10.45-11.25,История,12,,воскресенье,D
2025-09-28,5а,5,11.35-12.15,ИЗО,18,,воскресенье,D
2025-09-28,5а,6,12.25-13.05,математика,29,,воскресенье,D
2025-09-28,5б,1,8.00-8.40,РОВ,20,,воскресенье,E
2025-09-28,5б,2,8.50-9.30,Англ Яз.,15,,воскресенье,E
2025-09-28,5б,3,9.45-10.25,математика,29,,воскресенье,E
2025-09-28,5б,4,10.45-11.25,ИЗО,18,,воскресенье,E
2025-09-28,5б,5,11.35-12.15,Русский Яз.,19,,воскресенье,E
2025-09-28,5б,6,12.25-13.05,История,12,,воскресенье,E
2025-09-28,5в,1,8.00-8.40,РОВ,26,,воскресенье,F
2025-09-28,5в,2,8.50-9.30,История,12,,воскресенье,F
2025-09-28,5в,3,9.45-10.25,ИЗО,18,,воскресенье,F
2025-09-28,5в,4,10.45-11.25,История,12,,воскресенье,F
2025-09-28,5в,5,11.35-12.15,математика,29,,воскресенье,F
2025-09-28,5в,6,12.25-13.05,Англ Яз.,15,,воскресенье,F
2025-09-28,5г,1,8.00-8.40,РОВ,21,,воскресенье,G
2025-09-28,5г,2,8.50-9.30,ИЗО,18,,воскресенье,G
2025-09-28,5г,3,9.45-10.25,История,12,,воскресенье,G
2025-09-28,5г,4,10.45-11.25,Математика,29,,воскресенье,G
2025-09-28,5г,5,11.35-12.15,Англисский,15,,воскресенье,G
2025-09-28,5г,6,12.25-13.05,Русский,21,,воскресенье,G
2025-09-28,6а,1,8.00-8.40,РОВ,15,,воскресенье,H
2025-09-28,6а,2,8.50-9.30,История,11,,воскресенье,H
2025-09-28,6а,3,9.45-10.25,математика,28,,воскресенье,H
2025-09-28,6а,4,10.45-11.25,География,16,,воскресенье,H
2025-09-28,6а,5,11.35-12.15,Русский,19,,воскресенье,H
2025-09-28,6а,6,12.25-13.05,Анлиский,15,,воскресенье,H
2025-09-28,6б,1,8.00-8.40,РОВ,30,,воскресенье,I
2025-09-28,6б,2,8.50-9.30,Русский,20,,воскресенье,I
2025-09-28,6б,3,9.45-10.25,Русский,20,,воскресенье,I
2025-09-28,6б,4,10.45-11.25,История,11,,воскресенье,I
2025-09-28,6б,5,11.35-12.15,Математика,28,,воскресенье,I
2025-09-28,6б,6,12.25-13.05,География,26,,воскресенье,I
2025-09-28,6в,1,8.00-8.40,РОВ,29,,воскресенье,J
2025-09-28,6в,2,8.50-9.30,География,26,,воскресенье,J
2025-09-28,6в,3,9.45-10.25,История,11,,воскресенье,J
2025-09-28,6в,4,10.45-11.25,Русский,20,,воскресенье,J
2025-09-28,6в,5,11.35-12.15,Русский,20,,воскресенье,J
2025-09-28,6в,6,12.25-13.05,Математика,28,,воскресенье,J
2025-09-28,7а,1,8.00-8.40,РОВ,28,,воскресенье,K
2025-09-28,7а,2,8.50-9.30,Физика,14,,воскресенье,K
2025-09-28,7а,3,9.45-10.25,Русский,21,,воскресенье,K
2025-09-28,7а,4,10.45-11.25,Алгебра,28,,воскресенье,K
2025-09-28,7а,5,11.35-12.15,География,16,,воскресенье,K
2025-09-28,7а,6,12.25-13.05,ИЗО,18,,воскресенье,K
2025-09-28,7б,1,8.00-8.40,РОВ,28,,воскресенье,L
2025-09-28,7б,2,8.50-9.30,Алгебра,28,,воскресенье,L
2025-09-28,7б,3,9.45-10.25,География,16,,воскресенье,L
2025-09-28,7б,4,10.45-11.25,Русский,21,,воскресенье,L
2025-09-28,7б,5,11.35-12.15,Литиратура,21,,воскресенье,L
2025-09-28,7б,6,12.25-13.05,Физика,14,,воскресенье,L
2025-09-28,7в,1,8.00-8.40,Англиский,12,,воскресенье,M
2025-09-28,7в,2,8.50-9.30,Музыка,30,,воскресенье,M
2025-09-28,7в,3,9.45-10.25,Алгебра,10,,воскресенье,M
2025-09-28,7в,4,10.45-11.25,География,26,,воскресенье,M
2025-09-28,7в,5,11.35-12.15,Физика,14,,воскресенье,M
2025-09-28,7в,6,12.25-13.05,Русский,20,,воскресенье,M
2025-09-28,8а,1,8.00-8.40,РОВ,27,,воскресенье,N
2025-09-28,8а,2,8.50-9.30,Биология,24,,воскресенье,N
2025-09-28,8а,3,9.45-10.25,Литиратура,19,,воскресенье,N
2025-09-28,8а,4,10.45-11.25,Алгебра,27,,воскресенье,N
